task/shachongdeluan,沙虫的卵,沙虫:60,,
task/jingchundeshedu,精纯的蛇毒,毒雾火蛇:5,,
task/jimizhujian,机密竹简,天仙教刺客:5,,
task/tianxianjiaohuizhang,天仙教徽章,天仙教刺客:60,,
task/guilingjinghua,鬼灵精华,游魂:10,,
task/qinyuandeyumao,钦原的羽毛,钦原:60,,
task/yuntailingzhi,云台灵芝,土蝼:5,,
task/shuanglangyinya,霜狼银牙,霜狼:5,,
task/yingshi,影石,虚空幻影:60|无影幻兽:60|飘渺魔影:60|混沌巨鹰:60,,
task/kunlunmentutoulu,昆仑门徒头颅,修真士:100|濒死诛仙:100|散仙:100|道士:100|力士:100|落魄剑仙:100,颗,任务物品
task/kunlunpojian,昆仑破剑,濒死诛仙:5|落魄剑仙:5,柄,任务物品
task/chongtou,虫头,赤血蜈蚣:60|青色毒蝎:60|蛆虫幼体:60|象鼻毒虫:60|百足蜈蚣:60|黑翅毒蜂:60,个,任务物品
task/duyedai,毒液袋,赤血蜈蚣:60|青色毒蝎:60|蛆虫幼体:60|象鼻毒虫:60|百足蜈蚣:60|黑翅毒蜂:60,个,任务物品
task/judaduya,巨大毒牙,赤血蜈蚣:1|青色毒蝎:1|蛆虫幼体:1|象鼻毒虫:1|百足蜈蚣:1|黑翅毒蜂:1,颗,任务物品
task/chongke,虫壳,赤血蜈蚣:10|青色毒蝎:10|蛆虫幼体:10|象鼻毒虫:10|百足蜈蚣:10|黑翅毒蜂:10,个,任务物品
task/funverduo,妇女耳朵,妇女:100,对,任务物品
task/kunlunshandemihan,昆仑山的密函,樵夫:5|福寿村民:5|福寿守卫:5|小贩:5|农夫:5|妇女:5,封,任务物品
task/xianrengu,仙人骨,樵夫:1|福寿村民:1|福寿守卫:1|小贩:1|农夫:1|妇女:1,副,任务物品
task/juyinghui,巨鹰喙,混沌巨鹰:50,个,任务物品
task/yingzisuipian,影子碎片,无影幻兽:50|虚空幻影:50|飘渺魔影:50,片,任务物品
task/xukongjinghua,虚空精华,无影幻兽:1|虚空幻影:1|飘渺魔影:1|混沌巨鹰:1,个,任务物品
task/leiniaomao,雷鸟毛,雷鸟:1,根,任务物品
task/lingguizhike,灵龟之壳,灵龟:50,个,任务物品
task/wanmeideweilonggu,完美的伪龙骨,伪龙:1,副,任务物品
task/longya,龙牙,伪龙:100,颗,任务物品
task/shihai,尸骸,腐烂僵尸:100|散架骷髅:100,副,任务物品
task/fushiniaomao,腐蚀鸟毛,腐蚀鸟:100,根,任务物品
task/jinaodaoyingji,金鳌岛印记,腐烂僵尸:1|荒野豺狼:1|腐蚀鸟:1|散架骷髅:1,个,任务物品
task/tiantingxinying,天庭信印,火云兽:1,个,金色大印上刻有模糊的字体，难以分辨
task/mujingsui,木精髓,百须树妖:1,个,青色的骨髓，发出翡翠色的光芒
task/xianlonggu,仙龙骨,小蟠龙:1,副,龙骨中的精华之物，百里挑一
task/wanduchidan,万毒赤胆,巨毒蝎:1,副,暗红的毒胆发出血色的光芒
task/chongwangyouti,虫王幼体,尖牙蛆虫:1,副,幼体额头上镶嵌了虫王玉，乃是虫王之躯的标志
task/dulongjingxie,毒龙精血,魔血蜈蚣:1|千足蜈蚣:1,瓶,绿色的液体里好似有点点星光闪动
task/yingmodexie,魔影的心,飘渺魔影:10,个,任务物品
task/hundunjuyingdelinyu,混沌巨鹰的翎羽,混沌巨鹰:1,根,任务物品
task/sanxiandehunpo,散仙的魂魄,散仙:10,个,任务物品
task/xiuzhenshidejingpo,修真士的精魂,修真士:1,个,任务物品
task/qingyunshoudelingpian,清云兽的鳞片,清云兽:10,片,任务物品
task/lingguidebeijia,灵龟的背甲,灵龟:1,片,任务物品
task/funvdelingxie,妇女的灵血,妇女:10,瓶,任务物品
task/heichidufengdejinchi,黑翅毒蜂的金翅,黑翅毒蜂:1,片,任务物品
task/huangjiahuiji,皇家徽记,玫瑰藤:1|桃花精怪:1|鬼蝴蝶:1|毒花婆婆:1|红眼美妇:1|娇媚花妖:1|水螅虫:1|小荷妖:1|食肉浮萍:1|荷花女:1|百眼莲蓬:1|毒藕怪:1,个,任务物品
task/jiyijingshi,记忆晶石,白影:1|影子刺客:1|月光兽:1|阴霾水蛇:1|雾影蜻蜓:1|独臂鬼:1|巨钳龙虾:1|八足水妖:1鲶鱼精:1|铁甲乌龟:1|缠人水草:1|六爪鳄:1,个,任务物品
task/posundecaifengfachai,破损的彩凤发钗,彩梦鸟:10,个,大量的擦痕使得发钗暗淡无光
task/yunzhijinghua,云之精华,小云妖:1|水雾魔怪:1|彩梦鸟:1|素蛟龙:1|天水乌贼:1|棉絮妖:1|云海蟹怪:1|逐浪火鹤:1|吞云兽:1|怒雷兽:1|翻云蟹:1|云虾:1,颗,青色的小珠上隐隐有云雾缭绕
task/lanseshoubi,蓝色手臂,商军刀斧手:30|周兵刀斧手:30,条,任务物品
task/posundekaijia,破损的铠甲,商军枪兵:30|周军枪兵:30,副,任务物品
task/tutengmati,图腾马蹄,商军骑兵:30|周军骑兵:30,个,任务物品
task/shexinzi,蛇信子,大岩蛇:30,条,任务物品
task/yanshitoulu,岩石头颅,巨岩怪:10,颗,任务物品
task/shifu,石斧,石斧投手:30,枚,任务物品
task/dongxuelingshui,洞穴灵水,石颅穴居人:25|毒瘤穴居人:25,瓶,任务物品
task/bingshu,兵书,长剑妖将:30,本,任务物品
task/dupu,毒谱,毒妖:30,本,任务物品
task/xianrendeling,仙人的灵,落魄仙人:50|禁锢仙人:50,个,任务物品
task/pantudexinjian,叛徒的信件,昆仑俘虏:10|昆仑劳役:10,封,任务物品
task/jianjundepibian,监军的皮鞭,妖魔监军:10,条,任务物品
task/yuzi,鱼籽,尖牙食肉鱼:30|影蝴蝶鱼:30|黑白斑鱼:30,袋,任务物品
task/yabao,芽孢,长藤海豆芽:30,个,任务物品
task/tongji,铜戟,持戟人鱼:20,把,任务物品
task/hunpo,魂魄,海蜇幽魂:15,个,任务物品
task/lingpo,灵魄,妖鲵恶灵:15,个,任务物品
task/luoke,螺壳,皱纹岩螺:10|圆伞银螺:10|枯骨螺:10,个,任务物品
task/jinluokou,金螺口,无壳金口海螺:25,个,任务物品
task/luoya,凤凰螺齿,三齿凤凰螺:20,颗,任务物品
task/zhenzhu,珍珠,毒瘤珍珠螺:20,颗,任务物品
task/duliujinghua,毒瘤精华,毒瘤珍珠螺:15,瓶,任务物品
task/heiseyuchi,黑色鱼翅,魔天影鲨:20,个,任务物品
task/zisefadai,紫色发带,紫海带精:30,条,任务物品
task/lansedexin,蓝色的心,钉刺海葵:30,颗,任务物品
task/shichong,尸虫,海狗腐尸:25,条,任务物品
task/hongsejuzhua,红色巨爪,巨爪毒鱿:35,条,任务物品
task/haixiangdepi,海象的皮,骷髅妖象:5,张,任务物品
task/longwenpi,龙纹皮,龙纹海狮:5,张,任务物品
task/huabanpi,花斑皮,千孔花斑海豹:5,张,任务物品
task/yinsemaofa,银色毛发,刺背海獭:5,撮,任务物品
task/lvbingjing,绿冰晶,白羽毛藻:25|浮游藻:25|绿叶巨藻:25,颗,任务物品
task/yinsejinghua,银色精华,银顶巨鲸:20,瓶,任务物品
task/qunzhuangleisi,裙状蕾丝,毒裙花菜:1,条,任务物品
task/xiarou,虾肉,红袍龙虾:30,个,任务物品
task/shumupi,水母皮,晶刺水母:30,个,任务物品
task/qingyan,青眼,青眼蟹妖:5,颗,任务物品
task/juanqudeweiba,卷曲的尾巴,黑背海马:30,条,任务物品
task/meihuodeyanjing,魅惑的眼睛,伏羲美女蛇:10,颗,任务物品
task/langpi,狼皮,秃背恶狼:10,张,任务物品
task/yinghui,鹰喙,凶猛山鹰:10,个,任务物品
task/fuwenchutou,带符咒的锄头,伏羲劳工:10,枚,任务物品
task/qianchengdelinghun,虔诚的灵魂,伏羲朝拜者:10|深山求仙者:10,个,任务物品
task/hunzhuodelinghun,混浊的灵魂,伏羲迷途者:10,个,任务物品
task/chouloudexin,丑陋的心,伏羲山贼:10,颗,任务物品
task/lansemaoying,蓝色帽缨,伏羲护卫:10,条,任务物品
task/jingshenshi,精神石,深山苦修者:10,颗,任务物品
task/huozhong,火种,伏羲变异哨兵:10,个,任务物品
task/jingbinghupai,精兵护牌,伏羲精兵:10,个,任务物品
task/yinshenchangpao,隐身长袍,深山潜伏者:10|深山藏匿者:10,件,任务物品
task/mianju,面具,兽身人面妖:10,个,任务物品
task/baopi,豹皮,山谷灰豹:10,张,任务物品
task/xiongpi,熊皮,山谷银熊:10,张,任务物品
task/daifuzhoudechutou,带符咒的锄头,山谷苦力:10,枚,任务物品
task/hunzhuodelinghun,混浊的灵魂,山谷游荡者:10,个,任务物品
task/qianchengdelinghun,虔诚的灵魂,山谷求仙者:10,个,任务物品
task/wushendeyangjing,无神的眼睛,山谷监工:10,颗,任务物品
task/mimangdexin,迷茫的心,山谷迷途者:10,颗,任务物品
task/jingshenshi,精神石,山谷苦修者:10,颗,任务物品
task/taoyiluxiantu,逃逸路线图,逃逸苦力:10,张,任务物品
task/hupai,护牌,炎帝精兵:10|炎帝步兵:10,个,任务物品
task/yinshenchangpao,隐身长袍,山谷潜伏者:10|山谷藏匿者:10,件,任务物品
task/juxizhiwei,巨蜥之尾,荒原巨蜥:10,条,任务物品
task/duxiezhiya,毒蝎之牙,荒原毒蝎:10,颗,任务物品
task/shouzuzhoudexiangquan,受诅咒的项圈,荒原野狮:10,个,任务物品
task/yinselinpian,银色鳞片,荒原银蟒:10,片,任务物品
task/minghuotougu,冥火头骨,焦灼骷髅:10,颗,任务物品
task/pociwan,破瓷碗,路边乞者:10,个,任务物品
task/fuhuaideshoubi,腐坏的手臂,扭曲死尸:10,条,任务物品
task/huangyuanditu,荒原地图,荒原迷途者:10,张,任务物品
task/kullouzhihuan,骷髅指环,骷髅行者:10,个,任务物品
task/posundexieliao,破损的鞋料,清修独行者:10,件,任务物品
task/dujuzhelingjie,独居者领结,清修独居者:10,个,任务物品
task/shizhehuiji,使者徽记,镇间使者:10,个,任务物品
task/shouwangzhechangjian,守望者长剑,荒原守望者:10,把,任务物品
task/shouweichangmao,守卫长矛,镇中守卫:10,把,任务物品
task/xunluozhekaijia,巡逻者铠甲,荒原巡逻者:10,件,任务物品
task/yuanxingzhechangpao,远行者长袍,苦修远行者:10,件,任务物品
task/dahezhihun,大河之魂,灵魂河妖:10|灵魂水怪:10,个,任务物品
task/huazhijinghua,花之精华,芳草小妖:10|空灵花妖:10,颗,任务物品
task/shirundechuxu,湿润的触须,潮湿虫:10,根,任务物品
task/weibingdeyanjing,卫兵的眼睛,岗哨卫兵:10,颗,任务物品
task/huiselinghun,灰色灵魂,豺狼恶灵:10,颗,任务物品
task/meiweizhizhutui,美味蜘蛛腿,巨型蜘蛛:10,条,任务物品
task/xuebailangya,雪白狼牙,峡谷恶狼:10,颗,任务物品
task/tougu,头骨,焦灼白骨:10,颗,任务物品
task/elingjingsui,恶灵精髓,峡谷恶灵:10,个,任务物品
task/feixuzhichi,废墟之匙,废墟守卫:10,把,任务物品
task/suogu,锁骨,扭曲枯骨:10|焦灼枯骨:10|变形死尸:10,个,任务物品
task/siling,死灵,沉寂幽灵:10|食尸亡灵:10,个,任务物品
task/shuijingling,水晶灵,晴雨水怪:10,颗,任务物品
task/xianlu,仙露,饮露精灵:10,瓶,任务物品
task/mohun,魔魂,雨林狂魔:10,颗,任务物品
task/yinbaixiongzong,银白熊鬃,冰白银熊:10,条,任务物品
task/zhizhudunang,蜘蛛毒囊,流光狼蛛:10|流光毒蛛:10,个,任务物品
task/shedunang,蛇毒囊,流光巨蛇:10,个,任务物品
task/jianyingdexieke,坚硬的蝎壳,流光毒蝎:10,个,任务物品
task/jinsejiake,金色甲壳,金色甲虫:10,个,任务物品
task/xiongyingdeyanjing,雄鹰的眼睛,流光黑鹰:10|平原巨鹰:10,颗,任务物品
task/feiechibang,飞蛾翅膀,流光飞蛾:10,双,任务物品
task/qingseyumao,青色羽毛,平原青鸟:10,枚,任务物品
task/shanzhuangbaoyu,山庄宝玉,静语仆从:10|静语侍从:10|静语侍女:10,颗,任务物品
task/langrendexin,狼人的心,静语狼人:10,颗,任务物品
task/youlingyuanshen,幽灵元神,静语水幽灵:10,个,任务物品
task/bishuiyuqi,碧水鱼鳍,碧水狂鱼:10|碧水鱼人:10,个,任务物品
task/posundegongju,破损的工具,弄水行者:10|碧水猎人:10|碧水农夫:10,个,任务物品
task/bishuijinghun,碧水精魂,碧水长者:5,个,任务物品
task/mudihuiji,墓地徽记,墓地精兵:10|墓地卫兵:10,枚,任务物品
task/kulouhuiji,骷髅徽记,骷髅士兵:10|骷髅卫士:10,枚,任务物品
task/linghunhuiji,灵魂徽记,灵魂战士:10|灵魂守卫:10,枚,任务物品
task/fengdi,风笛,飘摇风女:10|呼啸恶灵:10,个,任务物品
task/shuiguidetoufa,水鬼的头发,长发水鬼:10,缕,任务物品
task/yuanlingdeyanlei,怨灵的眼泪,凄苦怨灵:10,滴,任务物品
task/hunpodeyanjing,魂魄的眼睛,流浪魂魄:10,个,任务物品
task/minghuohuiji,冥火徽记,冥火骷髅:10,枚,任务物品
task/guihuohuiji,鬼火徽记,鬼火尸体:10,枚,任务物品
task/huoyanjinghua,火焰精华,蓝林鬼火:10,颗,任务物品
task/xingxingya,猩猩牙,黑幕巨猩猩:10|黑幕大猩猩:10|黑幕猩猩:10,颗,任务物品
task/pifunianye,皮肤粘液,黑幕水蛙:10|黑幕巨蛙:10,瓶,任务物品
task/langzhizongmao,狼之鬃毛,凶恶雪狼:10|黑幕豺狼:10,缕,任务物品
task/bianfudeyanjing,蝙蝠的眼睛,黑幕蝙蝠:10|黑幕巨蝠:10,颗,任务物品
task/changmaoweiba,长毛尾巴,狰狞洞穴兽:10|粗毛狼人:10,条,任务物品
task/heimuyulin,黑幕鱼鳞,黑幕狂鱼:10|黑幕鳄鱼:10,片,任务物品
task/yingliangbaozhu,莹亮宝珠,游云飞龙:20,颗,任务物品
task/hongseyuyi,红色羽翼,赤鳞蛟龙:15,枚,任务物品
task/huangseyuyi,黄色羽翼,澄翼蛟龙:15,枚,任务物品
task/qingseyuyi,青色羽翼,青翼蛟龙:15,枚,任务物品
task/hongselinpian,红色鳞片,赤鳞飞鱼:15,片,任务物品
task/huangselinpian,黄色鳞片,澄鳞飞鱼:15,片,任务物品
task/qingselinpian,青色鳞片,青鳞飞鱼:15,片,任务物品
task/hongseguhun,红色孤魂,游移赤灵:15,颗,任务物品
task/huangseguhun,黄色孤魂,游移澄灵:15,颗,任务物品
task/qingseguhun,青色孤魂,游移青灵:15,颗,任务物品
task/lanseyuyi,蓝色羽翼,蓝翼蛟龙:15,枚,任务物品
task/ziseyuyi,紫色羽翼,紫翼蛟龙:15,枚,任务物品
task/lanselinpian,蓝色鳞片,蓝鳞飞鱼:15,片,任务物品
task/ziselinpian,紫色鳞片,紫鳞飞鱼:15,片,任务物品
task/lanseguhun,蓝色孤魂,游移蓝灵:15,颗,任务物品
task/ziseguhun,紫色孤魂,游移紫灵:15,颗,任务物品
task/baisetumao,白色兔毛,藏云兔精:10,撮,任务物品
task/xisuilinpian,细碎鳞片,妖媚蛇精:50,片,任务物品
task/baiheweiling,白鹤尾翎,振翅白鹤:10,枚,任务物品
task/yinling,银铃,银铃花鹿:10,个,任务物品
task/shijiuzhiwei,狮鹫之尾,金毛狮鹫:3,条,任务物品
task/cangyingweiyu,苍鹰尾羽,混沌苍鹰:1,根,任务物品
task/yaofashuiqiu,妖法水球,虚空妖婆:3,颗,任务物品
task/xianlingzhihun,仙灵之魂,飘渺仙灵:1,颗,任务物品
task/ningleizhiyan,凝泪之眼,凝泪水妖:3,颗,任务物品
task/shezhijingcui,蛇之精粹,妖媚蛇精:1,瓶,任务物品
task/cangyingzhiyan,苍鹰之眼,混沌苍鹰:3,颗,任务物品
task/shijiuzhiyan,狮鹫之眼,金毛狮鹫:1,颗,任务物品
task/xianlingzhiyan,仙灵之眼,飘渺仙灵:3,颗,任务物品
task/xukongjinghua,虚空精华,虚空妖婆:1,瓶,任务物品
task/dushezhiyan,毒蛇之眼,妖媚蛇精:3,颗,任务物品
task/shuiyaozhiyan,水妖之泪,凝泪水妖:1,滴,任务物品
task/shifashenqi,施法神器,幻夜神婆:100,个,任务物品
task/matitie,马蹄铁,烈火营地骑兵:100,块,任务物品
task/huoyanlonglin,火焰龙鳞,火焰幼龙:90|火焰龙:90,片,任务物品
task/baiseyingyu,白色鹰羽,白色巨鹰:85,根,任务物品
task/mixin,密信,冽风骑兵:80|冽风守卫:80,封,任务物品
task/xiyidu,蜥蜴毒,黄沙蜥蜴:100,滴,任务物品
task/hunzhijincui,魂之精粹,游荡孤魂:100|尖啸惊魂:100,颗,任务物品
task/guhun,孤魂,枯骨精:90,颗,任务物品
task/eyupi,鳄鱼皮,凶猛鳄鱼:85,张,任务物品
task/wucaiweiling,五彩尾翎,白色巨鹰:80|杂毛朱雀:80,根,任务物品
task/yunmengshuidi,云梦水滴,云水小妖:15,颗,任务物品
task/zuimenghuaban,醉梦花瓣,花瓣小仙:15,片,任务物品
task/xiaoxiandeqingmeng,小仙的清梦,清梦小仙:15,个,任务物品
task/toumingdechibang,透明的翅膀,轻盈小妖:15,对,任务物品
task/xueling,血灵,嗜血精灵:15,颗,任务物品
task/kuxiujingcui,苦修精粹,飘渺苦行者:10|幽影清修者:10,颗,任务物品
task/mengshoudeqixi,猛兽的气息,猛虎幽魂:10|狂豹幽魂:10,丝,任务物品
task/feiqindeqixi,飞禽的气息,蝙蝠幽魂:10|猎鹰幽魂:10,丝,任务物品
task/anbaimaopi,黯白毛皮,黯白雪狼:10,张,任务物品
task/shuangyinglanghun,霜莹狼魂,幽灵恐狼:10,颗,任务物品
task/youhunmengjinghua,幽魂梦精华,紫梦幽魂:10,颗,任务物品
task/youhunyunjinghua,幽魂云精华,云夜幽魂:10,颗,任务物品
task/youhunwujinghua,幽魂雾精华,迷雾幽魂:10,颗,任务物品
task/xianzhiyulu,仙之雨露,雨露仙:10,滴,任务物品
task/xianzhihualu,仙之花露,花露仙:10,滴,任务物品
task/xianzhihanlu,仙之寒露,寒露仙:10,滴,任务物品
task/huabanlupi,花斑鹿皮,花鹿幽魂:10,张,任务物品
task/shuanghun,霜魂,落霜妖:10,颗,任务物品
task/yingyupianduan,萦语片段,萦语水妖:10,段,任务物品
task/linglanhualumi,铃兰花露蜜,铃兰花仙:10,瓶,任务物品
task/shiguduye,噬骨毒液,噬骨妖:10,瓶,任务物品
task/bingxuehua,冰雪花,落雪仙:10|冰凝水妖:10,朵,任务物品
task/zisetengwan,紫色藤蔓,藤蔓女妖:10,条,任务物品
task/fenglushui,风露水,倾风露水仙:10,瓶,任务物品
task/ranshaoxianling,燃烧仙灵,浴火仙:10,颗,任务物品
task/youhunzhimengjinghua,幽魂之梦精华,紫梦幽魂:15,颗,任务物品
task/youhunzhiyunjinghua,幽魂之云精华,云夜幽魂:10,颗,任务物品
task/youhunzhiwujinghua,幽魂之雾精华,迷雾幽魂:5,颗,任务物品
task/xianningyulu,仙凝雨露,雨露仙:15,滴,任务物品
task/xianninghualu,仙凝花露,花露仙:10,滴,任务物品
task/xianninghanlu,仙凝寒露,寒露仙:5,滴,任务物品
